maker_key;model_key;mileage;engine_power;registration_date;fuel;paint_color;car_type;feature_1;feature_2;feature_3;feature_4;feature_5;feature_6;feature_7;feature_8;price;sold_at
BMW;118;1404lwef11;100;01/02/2012;diesel;black;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;11300;01/01/2018
BMW;M4;13929;317;01/04/2016;petrol;grey;convertible;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;69700;01/02/2018
BMW;320;183297;120;01/04/2012;diesel;white;convertible;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;10200;01/02/2018
BMW;420;128035;135;01/07/2014;diesel;red;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;25100;01/02/2018
BMW;425;9ffw7097;160;01/12/2014;diesel;silver;convertible;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;33400;01/04/2018
BMW;335;152352;225;01/05/2011;petrol;black;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;17100;01/02/2018
BMW;325;205219;145;01/05/2009;diesel;grey;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;12400;01/02/2018
BMW;118;115e560;105;01/08/2009;petrol;white;convertible;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;6100;01/02/2018
BMW;Z4;123886;125;01/07/2004;petrol;black;convertible;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;6200;01/03/2018
BMW;320;139541;135;01/06/2013;diesel;white;convertible;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;17300;01/03/2018
BMW;320;77115;135;01/09/2012;diesel;blue;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;19300;01/03/2018
BMW;325;228000;145;01/09/2009;diesel;black;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;13300;01/03/2018
BMW;420;132025;135;01/03/2014;diesel;blue;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;21700;01/03/2018
BMW;420;77061;135;01/08/2015;diesel;black;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;36300;01/03/2018
BMW;120;174631;120;01/01/2009;diesel;black;convertible;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;10500;01/04/2018
BMW;120;208945;130;01/04/2008;diesel;grey;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;8300;01/04/2018
BMW;220;21167;135;01/07/2015;petrol;white;convertible;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;21900;01/04/2018
BMW;650;24521;270;01/01/2008;petrol;grey;convertible;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;9200;01/09/2018
BMW;325;205474;145;01/05/2009;diesel;grey;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;11000;01/04/2018
BMW;Z4;128940;110;01/03/2008;petrol;black;convertible;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;7700;01/05/2018
BMW;135;126213;225;01/02/2013;petrol;white;convertible;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;16800;01/05/2018
BMW;218;24ew868;100;01/01/2016;petrol;grey;convertible;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;31000;01/05/2018
BMW;420;90401;135;01/10/2014;diesel;grey;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;26300;01/05/2018
BMW;220;46963;140;01/10/2015;diesel;orange;convertible;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;23300;01/05/2018
BMW;Z4;43662+A49;180;01/05/2013;petrol;orange;convertible;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;20800;01/05/2018
BMW;318;196092;85;01/10/1995;petrol;blue;convertible;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1800;01/05/2018
BMW;430;113678;190;01/07/2014;diesel;black;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;30100;01/05/2018
BMW;420;65988;135;01/07/2014;diesel;grey;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;28700;01/05/2018
BMW;Z4;123809;125;01/07/2004;petrol;black;convertible;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;6500;01/05/2018
BMW;320;181252;120;01/08/2008;diesel;black;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;11100;01/05/2018
BMW;118;195114;105;01/10/2010;diesel;red;convertible;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;9900;01/05/2018
BMW;Z4;82761;110;01/05/2005;petrol;grey;convertible;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;9500;01/05/2018
BMW;218;25050;100;01/01/2016;petrol;grey;convertible;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;31000;01/06/2018
BMW;420;64832;135;01/04/2014;diesel;grey;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;27500;01/06/2018
BMW;120;240788;120;01/01/2009;diesel;grey;convertible;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;5500;01/06/2018
BMW;Z4;124516;125;01/07/2004;petrol;black;convertible;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;6300;01/06/2018
BMW;318;187294;105;01/09/2001;petrol;red;convertible;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;2400;01/06/2018
BMW;650;24452;270;01/01/2008;petrol;grey;convertible;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;6800;01/07/2018
BMW;218;17267;110;01/03/2016;diesel;white;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;24200;01/07/2018
BMW;320;194192;120;01/07/2008;diesel;beige;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;11800;01/07/2018
BMW;420;36696;120;01/07/2014;diesel;black;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;34300;01/07/2018
BMW;M3;270907;236;01/08/1996;petrol;black;convertible;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;12100;01/08/2018
BMW;330;142483;180;01/01/2012;diesel;blue;convertible;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;15800;01/08/2018
BMW;120;223269;120;01/07/2008;diesel;blue;convertible;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;8000;01/08/2018
BMW;120;158805;130;01/06/2008;diesel;black;convertible;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;9000;01/08/2018
BMW;218;13131;110;01/04/2016;diesel;grey;convertible;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;24300;01/08/2018
BMW;318;187104;105;01/09/2001;petrol;red;convertible;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;2600;01/08/2018
BMW;420;ger2er09reg96;135;01/05/2014;petrol;black;coupe;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;21400;01/04/2018
